Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Sun Mar 1 2015,6:00 pm,Golden State Warriors,106,Boston Celtics,101,Box Score,,
Sun Mar 1 2015,1:00 pm,Los Angeles Clippers,96,Chicago Bulls,86,Box Score,,
Sun Mar 1 2015,8:00 pm,New Orleans Pelicans,99,Denver Nuggets,92,Box Score,,
Sun Mar 1 2015,3:30 pm,Cleveland Cavaliers,103,Houston Rockets,105,Box Score,OT,
Sun Mar 1 2015,6:00 pm,Philadelphia 76ers,74,Indiana Pacers,94,Box Score,,
Sun Mar 1 2015,6:30 pm,Oklahoma City Thunder,108,Los Angeles Lakers,101,Box Score,,
Sun Mar 1 2015,6:00 pm,Charlotte Hornets,98,Orlando Magic,83,Box Score,,
Sun Mar 1 2015,6:00 pm,Portland Trail Blazers,110,Sacramento Kings,99,Box Score,,
Mon Mar 2 2015,7:30 pm,Golden State Warriors,108,Brooklyn Nets,110,Box Score,,
Mon Mar 2 2015,8:30 pm,New Orleans Pelicans,93,Dallas Mavericks,102,Box Score,,
Mon Mar 2 2015,7:30 pm,Phoenix Suns,98,Miami Heat,115,Box Score,,
Mon Mar 2 2015,8:00 pm,Los Angeles Clippers,110,Minnesota Timberwolves,105,Box Score,,
Mon Mar 2 2015,7:00 pm,Toronto Raptors,114,Philadelphia 76ers,103,Box Score,,
Tue Mar 3 2015,7:30 pm,Houston Rockets,96,Atlanta Hawks,104,Box Score,,
Tue Mar 3 2015,8:00 pm,Washington Wizards,92,Chicago Bulls,97,Box Score,,
Tue Mar 3 2015,7:00 pm,Los Angeles Lakers,103,Charlotte Hornets,104,Box Score,,
Tue Mar 3 2015,7:00 pm,Boston Celtics,79,Cleveland Cavaliers,110,Box Score,,
Tue Mar 3 2015,9:00 pm,Milwaukee Bucks,95,Denver Nuggets,106,Box Score,,
Tue Mar 3 2015,8:00 pm,Utah Jazz,93,Memphis Grizzlies,82,Box Score,,
Tue Mar 3 2015,7:00 pm,Sacramento Kings,124,New York Knicks,86,Box Score,,
Wed Mar 4 2015,7:30 pm,Utah Jazz,84,Boston Celtics,85,Box Score,,
Wed Mar 4 2015,7:30 pm,Charlotte Hornets,115,Brooklyn Nets,91,Box Score,,
Wed Mar 4 2015,10:30 pm,Milwaukee Bucks,93,Golden State Warriors,102,Box Score,,
Wed Mar 4 2015,8:00 pm,Memphis Grizzlies,102,Houston Rockets,100,Box Score,,
Wed Mar 4 2015,7:00 pm,New York Knicks,82,Indiana Pacers,105,Box Score,,
Wed Mar 4 2015,10:30 pm,Portland Trail Blazers,98,Los Angeles Clippers,93,Box Score,OT,
Wed Mar 4 2015,8:00 pm,Los Angeles Lakers,94,Miami Heat,100,Box Score,,
Wed Mar 4 2015,8:00 pm,Denver Nuggets,100,Minnesota Timberwolves,85,Box Score,,
Wed Mar 4 2015,8:00 pm,Detroit Pistons,85,New Orleans Pelicans,88,Box Score,,
Wed Mar 4 2015,8:00 pm,Philadelphia 76ers,118,Oklahoma City Thunder,123,Box Score,OT,
Wed Mar 4 2015,7:00 pm,Phoenix Suns,105,Orlando Magic,100,Box Score,,
Wed Mar 4 2015,8:30 pm,Sacramento Kings,85,San Antonio Spurs,112,Box Score,,
Wed Mar 4 2015,7:30 pm,Cleveland Cavaliers,120,Toronto Raptors,112,Box Score,,
Thu Mar 5 2015,8:00 pm,Oklahoma City Thunder,105,Chicago Bulls,108,Box Score,,
Thu Mar 5 2015,10:30 pm,Dallas Mavericks,75,Portland Trail Blazers,94,Box Score,,
Fri Mar 6 2015,7:30 pm,Cleveland Cavaliers,97,Atlanta Hawks,106,Box Score,,
Fri Mar 6 2015,8:00 pm,Phoenix Suns,108,Brooklyn Nets,100,Box Score,OT,
Fri Mar 6 2015,7:00 pm,Toronto Raptors,94,Charlotte Hornets,103,Box Score,,
Fri Mar 6 2015,10:30 pm,Dallas Mavericks,89,Golden State Warriors,104,Box Score,,
