Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Tue Oct 28 2014,10:30 pm,Houston Rockets,108,Los Angeles Lakers,90,Box Score,,
Tue Oct 28 2014,8:00 pm,Orlando Magic,84,New Orleans Pelicans,101,Box Score,,
Tue Oct 28 2014,8:00 pm,Dallas Mavericks,100,San Antonio Spurs,101,Box Score,,
Wed Oct 29 2014,7:30 pm,Brooklyn Nets,105,Boston Celtics,121,Box Score,,
Wed Oct 29 2014,7:00 pm,Milwaukee Bucks,106,Charlotte Hornets,108,Box Score,OT,
Wed Oct 29 2014,9:00 pm,Detroit Pistons,79,Denver Nuggets,89,Box Score,,
Wed Oct 29 2014,7:00 pm,Philadelphia 76ers,91,Indiana Pacers,103,Box Score,,
Wed Oct 29 2014,8:00 pm,Minnesota Timberwolves,101,Memphis Grizzlies,105,Box Score,,
Wed Oct 29 2014,7:30 pm,Washington Wizards,95,Miami Heat,107,Box Score,,
Wed Oct 29 2014,8:00 pm,Chicago Bulls,104,New York Knicks,80,Box Score,,
Wed Oct 29 2014,10:00 pm,Los Angeles Lakers,99,Phoenix Suns,119,Box Score,,
Wed Oct 29 2014,10:30 pm,Oklahoma City Thunder,89,Portland Trail Blazers,106,Box Score,,
Wed Oct 29 2014,10:00 pm,Golden State Warriors,95,Sacramento Kings,77,Box Score,,
Wed Oct 29 2014,7:30 pm,Atlanta Hawks,102,Toronto Raptors,109,Box Score,,
Wed Oct 29 2014,9:00 pm,Houston Rockets,104,Utah Jazz,93,Box Score,,
Thu Oct 30 2014,8:00 pm,New York Knicks,95,Cleveland Cavaliers,90,Box Score,,
Thu Oct 30 2014,8:30 pm,Utah Jazz,102,Dallas Mavericks,120,Box Score,,
Thu Oct 30 2014,10:30 pm,Oklahoma City Thunder,90,Los Angeles Clippers,93,Box Score,,
Thu Oct 30 2014,8:00 pm,Detroit Pistons,91,Minnesota Timberwolves,97,Box Score,,
Thu Oct 30 2014,7:00 pm,Washington Wizards,105,Orlando Magic,98,Box Score,,
Fri Oct 31 2014,8:00 pm,Cleveland Cavaliers,114,Chicago Bulls,108,Box Score,OT,
Fri Oct 31 2014,7:00 pm,Memphis Grizzlies,97,Indiana Pacers,89,Box Score,,
Fri Oct 31 2014,10:30 pm,Los Angeles Clippers,118,Los Angeles Lakers,111,Box Score,,
Fri Oct 31 2014,8:30 pm,Philadelphia 76ers,81,Milwaukee Bucks,93,Box Score,,
Fri Oct 31 2014,10:00 pm,San Antonio Spurs,89,Phoenix Suns,94,Box Score,,
Fri Oct 31 2014,10:00 pm,Portland Trail Blazers,94,Sacramento Kings,103,Box Score,,
