Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Sun Feb 1 2015,1:00 pm,Miami Heat,83,Boston Celtics,75,Box Score,,
Sun Feb 1 2015,2:00 pm,Los Angeles Lakers,80,New York Knicks,92,Box Score,,
Mon Feb 2 2015,7:30 pm,Los Angeles Clippers,100,Brooklyn Nets,102,Box Score,,
Mon Feb 2 2015,7:00 pm,Philadelphia 76ers,84,Cleveland Cavaliers,97,Box Score,,
Mon Feb 2 2015,8:30 pm,Minnesota Timberwolves,94,Dallas Mavericks,100,Box Score,,
Mon Feb 2 2015,8:00 pm,Atlanta Hawks,100,New Orleans Pelicans,115,Box Score,,
Mon Feb 2 2015,8:00 pm,Orlando Magic,97,Oklahoma City Thunder,104,Box Score,,
Mon Feb 2 2015,9:00 pm,Memphis Grizzlies,102,Phoenix Suns,101,Box Score,,
Mon Feb 2 2015,7:30 pm,Milwaukee Bucks,82,Toronto Raptors,75,Box Score,,
Mon Feb 2 2015,7:00 pm,Charlotte Hornets,92,Washington Wizards,88,Box Score,,
Tue Feb 3 2015,7:30 pm,Miami Heat,91,Detroit Pistons,108,Box Score,,
Tue Feb 3 2015,7:30 pm,Boston Celtics,108,New York Knicks,97,Box Score,,
Tue Feb 3 2015,7:00 pm,Denver Nuggets,98,Philadelphia 76ers,105,Box Score,,
Tue Feb 3 2015,10:00 pm,Utah Jazz,102,Portland Trail Blazers,103,Box Score,,
Tue Feb 3 2015,10:00 pm,Golden State Warriors,121,Sacramento Kings,96,Box Score,,
Wed Feb 4 2015,7:30 pm,Washington Wizards,96,Atlanta Hawks,105,Box Score,,
Wed Feb 4 2015,7:30 pm,Denver Nuggets,100,Boston Celtics,104,Box Score,,
Wed Feb 4 2015,10:30 pm,Dallas Mavericks,114,Golden State Warriors,128,Box Score,,
Wed Feb 4 2015,8:00 pm,Chicago Bulls,90,Houston Rockets,101,Box Score,,
Wed Feb 4 2015,7:00 pm,Detroit Pistons,109,Indiana Pacers,114,Box Score,,
Wed Feb 4 2015,8:00 pm,Los Angeles Lakers,105,Milwaukee Bucks,113,Box Score,OT,
Wed Feb 4 2015,8:00 pm,Miami Heat,101,Minnesota Timberwolves,102,Box Score,,
Wed Feb 4 2015,8:00 pm,Oklahoma City Thunder,102,New Orleans Pelicans,91,Box Score,,
Wed Feb 4 2015,8:30 pm,Orlando Magic,103,San Antonio Spurs,110,Box Score,,
Wed Feb 4 2015,7:30 pm,Brooklyn Nets,109,Toronto Raptors,93,Box Score,,
Wed Feb 4 2015,9:00 pm,Memphis Grizzlies,100,Utah Jazz,90,Box Score,,
Thu Feb 5 2015,7:00 pm,Washington Wizards,87,Charlotte Hornets,94,Box Score,,
Thu Feb 5 2015,8:00 pm,Los Angeles Clippers,94,Cleveland Cavaliers,105,Box Score,,
Thu Feb 5 2015,10:30 pm,Phoenix Suns,87,Portland Trail Blazers,108,Box Score,,
Thu Feb 5 2015,10:00 pm,Dallas Mavericks,101,Sacramento Kings,78,Box Score,,
Fri Feb 6 2015,7:30 pm,Golden State Warriors,116,Atlanta Hawks,124,Box Score,,
Fri Feb 6 2015,7:30 pm,Philadelphia 76ers,96,Boston Celtics,107,Box Score,,
Fri Feb 6 2015,7:00 pm,New York Knicks,88,Brooklyn Nets,92,Box Score,,
Fri Feb 6 2015,7:30 pm,Denver Nuggets,88,Detroit Pistons,98,Box Score,,
Fri Feb 6 2015,8:00 pm,Milwaukee Bucks,111,Houston Rockets,117,Box Score,,
Fri Feb 6 2015,7:00 pm,Cleveland Cavaliers,99,Indiana Pacers,103,Box Score,,
Fri Feb 6 2015,8:00 pm,Memphis Grizzlies,89,Minnesota Timberwolves,90,Box Score,,
Fri Feb 6 2015,8:00 pm,New Orleans Pelicans,116,Oklahoma City Thunder,113,Box Score,,
Fri Feb 6 2015,7:00 pm,Los Angeles Lakers,97,Orlando Magic,103,Box Score,OT,
Fri Feb 6 2015,9:00 pm,Utah Jazz,93,Phoenix Suns,100,Box Score,,
Fri Feb 6 2015,9:30 pm,Miami Heat,85,San Antonio Spurs,98,Box Score,,
Fri Feb 6 2015,7:00 pm,Los Angeles Clippers,107,Toronto Raptors,123,Box Score,,
Sat Feb 7 2015,8:30 pm,Portland Trail Blazers,101,Dallas Mavericks,111,Box Score,OT,
Sat Feb 7 2015,8:30 pm,Boston Celtics,93,Milwaukee Bucks,96,Box Score,,
Sat Feb 7 2015,7:00 pm,Chicago Bulls,107,New Orleans Pelicans,72,Box Score,,
Sat Feb 7 2015,7:30 pm,Golden State Warriors,106,New York Knicks,92,Box Score,,
Sat Feb 7 2015,7:30 pm,Charlotte Hornets,81,Philadelphia 76ers,89,Box Score,,
Sat Feb 7 2015,9:00 pm,Sacramento Kings,90,Utah Jazz,102,Box Score,,
Sat Feb 7 2015,7:00 pm,Brooklyn Nets,77,Washington Wizards,114,Box Score,,
Sun Feb 8 2015,6:00 pm,Indiana Pacers,103,Charlotte Hornets,102,Box Score,,
Sun Feb 8 2015,3:30 pm,Los Angeles Lakers,105,Cleveland Cavaliers,120,Box Score,,
Sun Feb 8 2015,6:00 pm,Minnesota Timberwolves,112,Detroit Pistons,101,Box Score,,
Sun Feb 8 2015,7:00 pm,Portland Trail Blazers,109,Houston Rockets,98,Box Score,,
Sun Feb 8 2015,6:00 pm,Atlanta Hawks,88,Memphis Grizzlies,94,Box Score,,
Sun Feb 8 2015,1:00 pm,Los Angeles Clippers,108,Oklahoma City Thunder,131,Box Score,,
Sun Feb 8 2015,6:00 pm,Chicago Bulls,98,Orlando Magic,97,Box Score,,
Sun Feb 8 2015,9:00 pm,Phoenix Suns,83,Sacramento Kings,85,Box Score,,
Sun Feb 8 2015,7:00 pm,San Antonio Spurs,82,Toronto Raptors,87,Box Score,,
Mon Feb 9 2015,8:30 pm,Los Angeles Clippers,115,Dallas Mavericks,98,Box Score,,
Mon Feb 9 2015,9:00 pm,Oklahoma City Thunder,124,Denver Nuggets,114,Box Score,,
Mon Feb 9 2015,7:00 pm,San Antonio Spurs,95,Indiana Pacers,93,Box Score,,
Mon Feb 9 2015,7:30 pm,New York Knicks,95,Miami Heat,109,Box Score,,
Mon Feb 9 2015,8:00 pm,Brooklyn Nets,97,Milwaukee Bucks,103,Box Score,,
Mon Feb 9 2015,8:00 pm,Atlanta Hawks,117,Minnesota Timberwolves,105,Box Score,,
Mon Feb 9 2015,8:00 pm,Utah Jazz,100,New Orleans Pelicans,96,Box Score,,
Mon Feb 9 2015,7:00 pm,Golden State Warriors,89,Philadelphia 76ers,84,Box Score,,
Mon Feb 9 2015,7:00 pm,Orlando Magic,80,Washington Wizards,96,Box Score,,
Tue Feb 10 2015,8:00 pm,Sacramento Kings,86,Chicago Bulls,104,Box Score,,
Tue Feb 10 2015,7:00 pm,Detroit Pistons,106,Charlotte Hornets,78,Box Score,,
Tue Feb 10 2015,10:30 pm,Denver Nuggets,106,Los Angeles Lakers,96,Box Score,,
Tue Feb 10 2015,8:00 pm,Brooklyn Nets,86,Memphis Grizzlies,95,Box Score,,
Tue Feb 10 2015,8:00 pm,Houston Rockets,127,Phoenix Suns,118,Box Score,,
Wed Feb 11 2015,7:30 pm,Atlanta Hawks,88,Boston Celtics,89,Box Score,,
Wed Feb 11 2015,8:00 pm,Miami Heat,93,Cleveland Cavaliers,113,Box Score,,
Wed Feb 11 2015,8:30 pm,Utah Jazz,82,Dallas Mavericks,87,Box Score,,
Wed Feb 11 2015,7:30 pm,San Antonio Spurs,104,Detroit Pistons,87,Box Score,,
Wed Feb 11 2015,10:30 pm,Houston Rockets,95,Los Angeles Clippers,110,Box Score,,
Wed Feb 11 2015,8:00 pm,Sacramento Kings,103,Milwaukee Bucks,111,Box Score,,
Wed Feb 11 2015,8:00 pm,Golden State Warriors,94,Minnesota Timberwolves,91,Box Score,,
Wed Feb 11 2015,8:00 pm,Indiana Pacers,106,New Orleans Pelicans,93,Box Score,,
Wed Feb 11 2015,8:00 pm,Memphis Grizzlies,89,Oklahoma City Thunder,105,Box Score,,
Wed Feb 11 2015,7:00 pm,New York Knicks,83,Orlando Magic,89,Box Score,,
Wed Feb 11 2015,10:00 pm,Los Angeles Lakers,86,Portland Trail Blazers,102,Box Score,,
Wed Feb 11 2015,7:30 pm,Washington Wizards,93,Toronto Raptors,95,Box Score,,
Thu Feb 12 2015,8:00 pm,Cleveland Cavaliers,98,Chicago Bulls,113,Box Score,,
Thu Feb 19 2015,10:30 pm,San Antonio Spurs,115,Los Angeles Clippers,119,Box Score,,
Thu Feb 19 2015,8:00 pm,Dallas Mavericks,89,Oklahoma City Thunder,104,Box Score,,
Fri Feb 20 2015,7:30 pm,Toronto Raptors,105,Atlanta Hawks,80,Box Score,,
