Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Fri May 1 2015,8:00 pm,Atlanta Hawks,111,Brooklyn Nets,87,Box Score,,
Sat May 2 2015,8:00 pm,San Antonio Spurs,109,Los Angeles Clippers,111,Box Score,,
Sun May 3 2015,1:00 pm,Washington Wizards,104,Atlanta Hawks,98,Box Score,,
Sun May 3 2015,3:30 pm,Memphis Grizzlies,86,Golden State Warriors,101,Box Score,,
Mon May 4 2015,7:00 pm,Chicago Bulls,99,Cleveland Cavaliers,92,Box Score,,
Mon May 4 2015,9:30 pm,Los Angeles Clippers,117,Houston Rockets,101,Box Score,,
Tue May 5 2015,8:00 pm,Washington Wizards,90,Atlanta Hawks,106,Box Score,,
Tue May 5 2015,10:30 pm,Memphis Grizzlies,97,Golden State Warriors,90,Box Score,,
Wed May 6 2015,7:00 pm,Chicago Bulls,91,Cleveland Cavaliers,106,Box Score,,
Wed May 6 2015,9:30 pm,Los Angeles Clippers,109,Houston Rockets,115,Box Score,,
Fri May 8 2015,8:00 pm,Cleveland Cavaliers,96,Chicago Bulls,99,Box Score,,
Fri May 8 2015,10:30 pm,Houston Rockets,99,Los Angeles Clippers,124,Box Score,,
Sat May 9 2015,8:00 pm,Golden State Warriors,89,Memphis Grizzlies,99,Box Score,,
Sat May 9 2015,5:00 pm,Atlanta Hawks,101,Washington Wizards,103,Box Score,,
Sun May 10 2015,3:30 pm,Cleveland Cavaliers,86,Chicago Bulls,84,Box Score,,
Sun May 10 2015,8:30 pm,Houston Rockets,95,Los Angeles Clippers,128,Box Score,,
Mon May 11 2015,9:30 pm,Golden State Warriors,101,Memphis Grizzlies,84,Box Score,,
Mon May 11 2015,7:00 pm,Atlanta Hawks,106,Washington Wizards,101,Box Score,,
Tue May 12 2015,7:00 pm,Chicago Bulls,101,Cleveland Cavaliers,106,Box Score,,
Tue May 12 2015,9:30 pm,Los Angeles Clippers,103,Houston Rockets,124,Box Score,,
Wed May 13 2015,8:00 pm,Washington Wizards,81,Atlanta Hawks,82,Box Score,,
Wed May 13 2015,10:30 pm,Memphis Grizzlies,78,Golden State Warriors,98,Box Score,,
Thu May 14 2015,8:00 pm,Cleveland Cavaliers,94,Chicago Bulls,73,Box Score,,
Thu May 14 2015,10:30 pm,Houston Rockets,119,Los Angeles Clippers,107,Box Score,,
Fri May 15 2015,9:30 pm,Golden State Warriors,108,Memphis Grizzlies,95,Box Score,,
Fri May 15 2015,7:00 pm,Atlanta Hawks,94,Washington Wizards,91,Box Score,,
Sun May 17 2015,3:30 pm,Los Angeles Clippers,100,Houston Rockets,113,Box Score,,
Tue May 19 2015,9:00 pm,Houston Rockets,106,Golden State Warriors,110,Box Score,,
Wed May 20 2015,8:30 pm,Cleveland Cavaliers,97,Atlanta Hawks,89,Box Score,,
Thu May 21 2015,9:00 pm,Houston Rockets,98,Golden State Warriors,99,Box Score,,
Fri May 22 2015,8:30 pm,Cleveland Cavaliers,94,Atlanta Hawks,82,Box Score,,
Sat May 23 2015,9:00 pm,Golden State Warriors,115,Houston Rockets,80,Box Score,,
Sun May 24 2015,8:30 pm,Atlanta Hawks,111,Cleveland Cavaliers,114,Box Score,OT,
Mon May 25 2015,9:00 pm,Golden State Warriors,115,Houston Rockets,128,Box Score,,
Tue May 26 2015,8:30 pm,Atlanta Hawks,88,Cleveland Cavaliers,118,Box Score,,
Wed May 27 2015,9:00 pm,Houston Rockets,90,Golden State Warriors,104,Box Score,,
