Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Wed Apr 1 2015,7:30 pm,Indiana Pacers,87,Boston Celtics,100,Box Score,,
Wed Apr 1 2015,7:00 pm,Detroit Pistons,78,Charlotte Hornets,102,Box Score,,
Wed Apr 1 2015,8:00 pm,Sacramento Kings,111,Houston Rockets,115,Box Score,,
Wed Apr 1 2015,10:30 pm,New Orleans Pelicans,113,Los Angeles Lakers,92,Box Score,,
Wed Apr 1 2015,8:00 pm,Chicago Bulls,91,Milwaukee Bucks,95,Box Score,,
Wed Apr 1 2015,8:00 pm,Toronto Raptors,113,Minnesota Timberwolves,99,Box Score,,
Wed Apr 1 2015,7:30 pm,Brooklyn Nets,100,New York Knicks,98,Box Score,,
Wed Apr 1 2015,8:00 pm,Dallas Mavericks,135,Oklahoma City Thunder,131,Box Score,,
Wed Apr 1 2015,7:00 pm,San Antonio Spurs,103,Orlando Magic,91,Box Score,,
Wed Apr 1 2015,10:00 pm,Los Angeles Clippers,126,Portland Trail Blazers,122,Box Score,,
Wed Apr 1 2015,9:00 pm,Denver Nuggets,84,Utah Jazz,98,Box Score,,
Wed Apr 1 2015,7:00 pm,Philadelphia 76ers,93,Washington Wizards,106,Box Score,,
Thu Apr 2 2015,8:00 pm,Miami Heat,88,Cleveland Cavaliers,114,Box Score,,
Thu Apr 2 2015,8:30 pm,Houston Rockets,108,Dallas Mavericks,101,Box Score,,
Thu Apr 2 2015,10:30 pm,Phoenix Suns,106,Golden State Warriors,107,Box Score,,
Fri Apr 3 2015,7:30 pm,Milwaukee Bucks,110,Boston Celtics,101,Box Score,,
Fri Apr 3 2015,7:30 pm,Toronto Raptors,109,Brooklyn Nets,114,Box Score,,
Fri Apr 3 2015,8:00 pm,Detroit Pistons,82,Chicago Bulls,88,Box Score,,
Fri Apr 3 2015,7:00 pm,Charlotte Hornets,74,Indiana Pacers,93,Box Score,,
Fri Apr 3 2015,10:30 pm,Portland Trail Blazers,107,Los Angeles Lakers,77,Box Score,,
Fri Apr 3 2015,8:00 pm,Oklahoma City Thunder,92,Memphis Grizzlies,100,Box Score,,
Fri Apr 3 2015,8:00 pm,Orlando Magic,97,Minnesota Timberwolves,84,Box Score,,
Fri Apr 3 2015,10:00 pm,New Orleans Pelicans,101,Sacramento Kings,95,Box Score,,
Fri Apr 3 2015,8:30 pm,Denver Nuggets,93,San Antonio Spurs,123,Box Score,,
Fri Apr 3 2015,7:00 pm,New York Knicks,87,Washington Wizards,101,Box Score,,
Sat Apr 4 2015,7:30 pm,Brooklyn Nets,99,Atlanta Hawks,131,Box Score,,
Sat Apr 4 2015,7:00 pm,Philadelphia 76ers,91,Charlotte Hornets,92,Box Score,,
Sat Apr 4 2015,8:30 pm,Golden State Warriors,123,Dallas Mavericks,110,Box Score,,
Sat Apr 4 2015,9:00 pm,Los Angeles Clippers,107,Denver Nuggets,92,Box Score,,
Sat Apr 4 2015,7:30 pm,Miami Heat,98,Detroit Pistons,99,Box Score,,
Sat Apr 4 2015,8:00 pm,Washington Wizards,92,Memphis Grizzlies,83,Box Score,,
Sat Apr 4 2015,8:30 pm,Orlando Magic,97,Milwaukee Bucks,90,Box Score,,
Sat Apr 4 2015,10:00 pm,Utah Jazz,85,Phoenix Suns,87,Box Score,,
Sat Apr 4 2015,10:00 pm,New Orleans Pelicans,90,Portland Trail Blazers,99,Box Score,,
Sat Apr 4 2015,7:30 pm,Boston Celtics,117,Toronto Raptors,116,Box Score,OT,
Sun Apr 5 2015,3:30 pm,Chicago Bulls,94,Cleveland Cavaliers,99,Box Score,,
Sun Apr 5 2015,6:00 pm,Miami Heat,89,Indiana Pacers,112,Box Score,,
Sun Apr 5 2015,9:30 pm,Los Angeles Clippers,106,Los Angeles Lakers,78,Box Score,,
Sun Apr 5 2015,7:30 pm,Philadelphia 76ers,91,New York Knicks,101,Box Score,,
Sun Apr 5 2015,1:00 pm,Houston Rockets,115,Oklahoma City Thunder,112,Box Score,,
Sun Apr 5 2015,9:00 pm,Utah Jazz,101,Sacramento Kings,95,Box Score,,
Sun Apr 5 2015,7:00 pm,Golden State Warriors,92,San Antonio Spurs,107,Box Score,,
Mon Apr 6 2015,7:00 pm,Portland Trail Blazers,96,Brooklyn Nets,106,Box Score,,
Tue Apr 7 2015,7:30 pm,Phoenix Suns,69,Atlanta Hawks,96,Box Score,,
Tue Apr 7 2015,10:30 pm,Los Angeles Lakers,100,Los Angeles Clippers,105,Box Score,,
Tue Apr 7 2015,7:30 pm,Charlotte Hornets,100,Miami Heat,105,Box Score,,
Tue Apr 7 2015,8:00 pm,Golden State Warriors,100,New Orleans Pelicans,103,Box Score,,
Tue Apr 7 2015,8:00 pm,San Antonio Spurs,113,Oklahoma City Thunder,88,Box Score,,
Tue Apr 7 2015,10:00 pm,Minnesota Timberwolves,111,Sacramento Kings,116,Box Score,,
Wed Apr 8 2015,7:30 pm,Atlanta Hawks,114,Brooklyn Nets,111,Box Score,,
Wed Apr 8 2015,7:00 pm,Toronto Raptors,92,Charlotte Hornets,74,Box Score,,
Wed Apr 8 2015,9:30 pm,Phoenix Suns,104,Dallas Mavericks,107,Box Score,,
Wed Apr 8 2015,9:00 pm,Los Angeles Lakers,101,Denver Nuggets,119,Box Score,,
Wed Apr 8 2015,7:00 pm,Boston Celtics,113,Detroit Pistons,103,Box Score,,
Wed Apr 8 2015,8:00 pm,New Orleans Pelicans,74,Memphis Grizzlies,110,Box Score,,
Wed Apr 8 2015,8:00 pm,Cleveland Cavaliers,104,Milwaukee Bucks,99,Box Score,,
Wed Apr 8 2015,7:30 pm,Indiana Pacers,102,New York Knicks,86,Box Score,,
Wed Apr 8 2015,7:00 pm,Chicago Bulls,103,Orlando Magic,105,Box Score,,
Wed Apr 8 2015,7:00 pm,Washington Wizards,119,Philadelphia 76ers,90,Box Score,,
Wed Apr 8 2015,10:00 pm,Minnesota Timberwolves,91,Portland Trail Blazers,116,Box Score,,
Wed Apr 8 2015,8:30 pm,Houston Rockets,98,San Antonio Spurs,110,Box Score,,
Wed Apr 8 2015,9:00 pm,Sacramento Kings,91,Utah Jazz,103,Box Score,,
Thu Apr 9 2015,10:30 pm,Portland Trail Blazers,105,Golden State Warriors,116,Box Score,,
Thu Apr 9 2015,8:00 pm,Chicago Bulls,89,Miami Heat,78,Box Score,,
Fri Apr 10 2015,7:30 pm,Charlotte Hornets,80,Atlanta Hawks,104,Box Score,,
Fri Apr 10 2015,7:30 pm,Washington Wizards,80,Brooklyn Nets,117,Box Score,,
Fri Apr 10 2015,7:30 pm,Boston Celtics,99,Cleveland Cavaliers,90,Box Score,,
Fri Apr 10 2015,9:00 pm,Dallas Mavericks,144,Denver Nuggets,143,Box Score,2OT,
Fri Apr 10 2015,7:30 pm,Indiana Pacers,107,Detroit Pistons,103,Box Score,,
Fri Apr 10 2015,8:00 pm,San Antonio Spurs,104,Houston Rockets,103,Box Score,,
Fri Apr 10 2015,10:30 pm,Minnesota Timberwolves,98,Los Angeles Lakers,106,Box Score,,
Fri Apr 10 2015,8:00 pm,Phoenix Suns,75,New Orleans Pelicans,90,Box Score,,
Fri Apr 10 2015,7:30 pm,Milwaukee Bucks,99,New York Knicks,91,Box Score,,
Fri Apr 10 2015,8:00 pm,Sacramento Kings,103,Oklahoma City Thunder,116,Box Score,,
Fri Apr 10 2015,7:00 pm,Toronto Raptors,101,Orlando Magic,99,Box Score,,
Fri Apr 10 2015,9:00 pm,Memphis Grizzlies,89,Utah Jazz,88,Box Score,,
Sat Apr 11 2015,8:00 pm,Philadelphia 76ers,107,Chicago Bulls,114,Box Score,,
Sat Apr 11 2015,10:30 pm,Minnesota Timberwolves,101,Golden State Warriors,110,Box Score,,
Sat Apr 11 2015,10:00 pm,Memphis Grizzlies,86,Los Angeles Clippers,94,Box Score,,
Sat Apr 11 2015,7:30 pm,Toronto Raptors,107,Miami Heat,104,Box Score,,
Sat Apr 11 2015,7:00 pm,New York Knicks,80,Orlando Magic,79,Box Score,,
Sat Apr 11 2015,10:00 pm,Utah Jazz,111,Portland Trail Blazers,105,Box Score,,
Sun Apr 12 2015,3:00 pm,Cleveland Cavaliers,78,Boston Celtics,117,Box Score,,
Sun Apr 12 2015,5:00 pm,Sacramento Kings,111,Denver Nuggets,122,Box Score,,
Sun Apr 12 2015,3:30 pm,Charlotte Hornets,77,Detroit Pistons,116,Box Score,,
Sun Apr 12 2015,7:00 pm,New Orleans Pelicans,114,Houston Rockets,121,Box Score,,
Sun Apr 12 2015,6:00 pm,Oklahoma City Thunder,104,Indiana Pacers,116,Box Score,,
Sun Apr 12 2015,9:30 pm,Dallas Mavericks,120,Los Angeles Lakers,106,Box Score,,
Sun Apr 12 2015,3:00 pm,Brooklyn Nets,73,Milwaukee Bucks,96,Box Score,,
Sun Apr 12 2015,7:00 pm,Phoenix Suns,91,San Antonio Spurs,107,Box Score,,
Sun Apr 12 2015,6:00 pm,Atlanta Hawks,99,Washington Wizards,108,Box Score,,
Mon Apr 13 2015,7:30 pm,New York Knicks,112,Atlanta Hawks,108,Box Score,,
Mon Apr 13 2015,7:30 pm,Chicago Bulls,113,Brooklyn Nets,86,Box Score,,
Mon Apr 13 2015,7:00 pm,Houston Rockets,100,Charlotte Hornets,90,Box Score,,
Mon Apr 13 2015,7:00 pm,Detroit Pistons,97,Cleveland Cavaliers,109,Box Score,,
Mon Apr 13 2015,10:30 pm,Memphis Grizzlies,107,Golden State Warriors,111,Box Score,,
Mon Apr 13 2015,10:30 pm,Denver Nuggets,103,Los Angeles Clippers,110,Box Score,,
Mon Apr 13 2015,7:30 pm,Orlando Magic,93,Miami Heat,100,Box Score,,
Mon Apr 13 2015,8:00 pm,New Orleans Pelicans,100,Minnesota Timberwolves,88,Box Score,,
Mon Apr 13 2015,8:00 pm,Portland Trail Blazers,90,Oklahoma City Thunder,101,Box Score,,
Mon Apr 13 2015,7:00 pm,Milwaukee Bucks,107,Philadelphia 76ers,97,Box Score,,
